booking_id,hotel_id,guest_id,room_type_id,promotion_id,booking_date,check_in_date,check_out_date,stay_nights,adults,children,booking_channel,booking_status,cancellation_flag,cancellation_date,adr_try,room_revenue_try,food_beverage_revenue_try,other_revenue_try,gross_revenue_try,cancellation_fee_try,realized_revenue_try,nationality
B00041,H001,G01464,RT06,P000,2025-10-15,2025-11-13,2025-11-17,4,2,0,Booking.com,Completed,0,,6470.84,25883.36,3688.79,1032.49,30604.64,0.0,30604.64,British
B00042,H001,G00092,RT06,P000,2025-11-22,2025-12-16,2025-12-19,3,3,0,Booking.com,Completed,0,,6004.45,18013.35,1770.41,1031.44,20815.2,0.0,20815.2,Turkish
B00043,H001,G01166,RT05,P000,2025-11-18,2025-12-01,2025-12-04,3,3,1,Direct Website,Completed,0,,4936.26,14808.78,1352.29,857.15,17018.22,0.0,17018.22,Turkish
B00044,H001,G01493,RT01,P000,2026-02-09,2026-02-16,2026-02-20,4,3,0,Booking.com,Completed,0,,2084.76,8339.04,1241.56,496.85,10077.45,0.0,10077.45,French
B00045,H001,G02013,RT01,P005,2026-06-23,2026-08-19,2026-08-20,1,4,0,Booking.com,Confirmed,0,,3605.84,3605.84,664.13,63.54,4333.51,0.0,4333.51,Turkish
B00046,H001,G01551,RT01,P006,2026-02-02,2026-03-14,2026-03-17,3,2,0,Direct Website,Completed,0,,2291.36,6874.08,629.5,191.98,7695.56,0.0,7695.56,Turkish
B00047,H001,G02153,RT01,P001,2026-05-07,2026-06-09,2026-06-13,4,2,0,Direct Website,Completed,0,,2951.25,11805.0,2229.05,509.64,14543.69,0.0,14543.69,Turkish
B00048,H001,G01302,RT01,P005,2025-07-03,2025-09-22,2025-09-24,2,3,0,Direct Phone,Completed,0,,3155.24,6310.48,1004.25,283.48,7598.21,0.0,7598.21,Turkish
B00049,H001,G00774,RT01,P000,2025-08-18,2025-09-12,2025-09-17,5,2,0,Direct Website,Completed,0,,3680.5,18402.5,2671.32,605.78,21679.6,0.0,21679.6,Turkish
B00050,H001,G00789,RT05,P001,2026-09-08,2026-11-12,2026-11-13,1,4,1,Booking.com,Confirmed,0,,5010.41,5010.41,999.57,207.9,6217.88,0.0,6217.88,Turkish
B00051,H001,G00202,RT01,P000,2026-08-05,2026-11-22,2026-11-27,5,1,1,Direct Phone,Confirmed,0,,2303.85,11519.25,1854.11,501.67,13875.03,0.0,13875.03,German
B00052,H001,G00615,RT04,P000,2026-09-23,2026-11-02,2026-11-07,5,2,2,Corporate,Confirmed,0,,4631.34,23156.7,2629.98,1466.09,27252.77,0.0,27252.77,Turkish
B00053,H001,G01939,RT04,P000,2025-03-25,2025-04-28,2025-05-02,4,2,0,Travel Agent,Completed,0,,5054.8,20219.2,2288.48,579.51,23087.19,0.0,23087.19,British
B00054,H001,G00621,RT01,P000,2026-07-13,2026-08-11,2026-08-14,3,2,0,Corporate,Completed,0,,4584.71,13754.13,2633.97,773.04,17161.14,0.0,17161.14,Turkish
B00055,H001,G02236,RT03,P006,2026-03-30,2026-04-05,2026-04-06,1,3,0,Direct Website,Completed,0,,3844.59,3844.59,821.35,245.29,4911.23,0.0,4911.23,Turkish
B00056,H001,G01176,RT04,P000,2025-05-07,2025-07-03,2025-07-06,3,3,1,Expedia,Completed,0,,7584.76,22754.28,2454.88,1259.75,26468.91,0.0,26468.91,British
B00057,H001,G01106,RT02,P002,2025-06-14,2025-07-19,2025-07-22,3,2,0,Booking.com,Completed,0,,5346.78,16040.34,2226.96,285.4,18552.7,0.0,18552.7,Turkish
B00058,H001,G01774,RT05,P006,2026-04-25,2026-05-30,2026-06-01,2,2,0,Direct Website,Completed,0,,7098.67,14197.34,2020.2,607.03,16824.57,0.0,16824.57,Turkish
B00059,H001,G01133,RT03,P006,2026-06-11,2026-07-29,2026-08-03,5,2,1,Direct Website,Completed,0,,6477.03,32385.15,7015.39,342.98,39743.52,0.0,39743.52,British
B00060,H001,G01606,RT01,P000,2025-08-09,2025-09-18,2025-09-24,6,2,0,Travel Agent,Completed,0,,3392.3,20353.8,3495.44,523.38,24372.62,0.0,24372.62,Turkish
B00061,H001,G00578,RT05,P003,2025-08-22,2025-09-05,2025-09-11,6,2,0,Travel Agent,Completed,0,,7479.07,44874.42,7155.82,2804.12,54834.36,0.0,54834.36,Turkish
B00062,H001,G01327,RT02,P000,2026-08-31,2026-10-09,2026-10-14,5,4,1,Travel Agent,Confirmed,0,,3984.93,19924.65,1738.08,466.65,22129.38,0.0,22129.38,Turkish
B00063,H001,G00122,RT01,P000,2025-04-28,2025-05-06,2025-05-10,4,2,0,Direct Website,Completed,0,,2870.86,11483.44,1827.0,197.82,13508.26,0.0,13508.26,German
B00064,H001,G02438,RT02,P001,2026-05-13,2026-07-01,2026-07-05,4,2,0,Expedia,Completed,0,,4938.56,19754.24,2532.62,765.13,23051.99,0.0,23051.99,Turkish
B00065,H001,G00739,RT02,P000,2025-01-30,2025-02-11,2025-02-14,3,2,0,Travel Agent,Completed,0,,2926.44,8779.32,1674.81,368.28,10822.41,0.0,10822.41,British
B00066,H001,G02146,RT06,P001,2025-09-22,2025-10-19,2025-10-24,5,2,0,Direct Website,Completed,0,,6551.61,32758.05,6990.47,462.81,40211.33,0.0,40211.33,Turkish
B00067,H001,G02237,RT04,P001,2025-03-19,2025-04-05,2025-04-07,2,2,0,Direct Phone,Cancelled,1,2025-03-25,4365.03,8730.06,833.99,464.0,10028.05,1309.51,1309.51,Turkish
B00068,H001,G01676,RT01,P005,2026-05-31,2026-07-27,2026-07-29,2,2,0,Travel Agent,Completed,0,,3599.36,7198.72,1341.64,483.37,9023.73,0.0,9023.73,British
B00069,H001,G00095,RT05,P005,2026-05-11,2026-06-27,2026-06-30,3,4,0,Direct Website,Completed,0,,8367.37,25102.11,5177.45,387.28,30666.84,0.0,30666.84,Turkish
B00070,H001,G01787,RT03,P000,2025-08-17,2025-10-27,2025-10-30,3,2,0,Travel Agent,Completed,0,,4702.6,14107.8,2634.53,210.83,16953.16,0.0,16953.16,Turkish
B00071,H001,G02594,RT03,P000,2026-09-15,2026-10-17,2026-10-19,2,4,0,Corporate,Confirmed,0,,4719.31,9438.62,1534.65,609.45,11582.72,0.0,11582.72,French
B00072,H001,G02310,RT04,P006,2026-09-11,2026-10-06,2026-10-08,2,3,0,Direct Phone,Confirmed,0,,5227.75,10455.5,1455.75,554.8,12466.05,0.0,12466.05,Turkish
B00073,H001,G01854,RT01,P001,2026-08-31,2026-09-24,2026-09-26,2,2,0,Booking.com,Confirmed,0,,2696.01,5392.02,947.25,303.08,6642.35,0.0,6642.35,German
B00074,H001,G00524,RT02,P000,2026-04-26,2026-06-01,2026-06-04,3,1,0,Direct Website,Completed,0,,5064.9,15194.7,1870.42,634.66,17699.78,0.0,17699.78,German
B00075,H001,G01619,RT03,P000,2026-11-30,2026-12-21,2026-12-24,3,3,1,Direct Website,Cancelled,1,2026-12-07,3281.04,9843.12,2026.16,488.75,12358.03,1476.47,1476.47,Russian
B00076,H001,G02534,RT06,P006,2026-09-26,2026-10-24,2026-10-29,5,2,1,Direct Website,Confirmed,0,,7744.58,38722.9,4410.65,1018.08,44151.63,0.0,44151.63,British
B00077,H001,G00145,RT02,P000,2025-01-11,2025-02-02,2025-02-06,4,2,0,Booking.com,Cancelled,1,2025-01-17,2987.43,11949.72,1934.32,561.69,14445.73,1792.46,1792.46,German
B00078,H001,G02302,RT03,P002,2026-07-15,2026-08-10,2026-08-14,4,2,0,Booking.com,Completed,0,,6056.06,24224.24,5203.95,1657.58,31085.77,0.0,31085.77,Turkish
B00079,H001,G00742,RT01,P002,2026-06-25,2026-08-21,2026-08-23,2,2,0,Direct Phone,Confirmed,0,,4487.87,8975.74,1582.54,390.72,10949.0,0.0,10949.0,Russian
B00080,H001,G01149,RT01,P000,2026-03-26,2026-04-22,2026-04-23,1,2,0,Expedia,Cancelled,1,2026-04-14,2473.95,2473.95,244.73,115.5,2834.18,371.09,371.09,Turkish
B00081,H001,G01958,RT06,P000,2025-08-23,2025-10-03,2025-10-07,4,2,0,Expedia,Completed,0,,7912.77,31651.08,4898.17,633.74,37182.99,0.0,37182.99,British
B00082,H001,G02421,RT01,P001,2025-12-31,2026-01-11,2026-01-15,4,2,0,Direct Website,Completed,0,,1877.47,7509.88,963.44,93.0,8566.32,0.0,8566.32,Turkish
B00083,H001,G00878,RT03,P000,2026-08-05,2026-08-14,2026-08-19,5,3,0,Corporate,Completed,0,,7504.01,37520.05,7136.35,700.39,45356.79,0.0,45356.79,British
B00084,H001,G00246,RT01,P006,2025-02-03,2025-03-03,2025-03-09,6,1,1,Direct Website,Completed,0,,2214.25,13285.5,2431.72,460.49,16177.71,0.0,16177.71,British
B00085,H001,G00702,RT01,P005,2025-08-16,2025-09-02,2025-09-05,3,2,0,Direct Website,Cancelled,1,2025-08-23,2969.91,8909.73,714.05,120.25,9744.03,1336.46,1336.46,Turkish
B00086,H001,G00876,RT06,P000,2025-07-13,2025-07-18,2025-07-21,3,2,0,Expedia,Completed,0,,12918.67,38756.01,7786.49,2291.67,48834.17,0.0,48834.17,British
B00087,H001,G00777,RT01,P000,2026-08-13,2026-09-09,2026-09-14,5,4,0,Corporate,Confirmed,0,,3593.67,17968.35,2735.12,411.3,21114.77,0.0,21114.77,Turkish
B00088,H001,G00728,RT02,P000,2026-03-14,2026-04-09,2026-04-10,1,3,1,Direct Website,Completed,0,,3550.63,3550.63,291.08,177.78,4019.49,0.0,4019.49,Turkish
B00089,H001,G02043,RT02,P000,2026-07-28,2026-08-15,2026-08-19,4,2,0,Travel Agent,Completed,0,,5805.58,23222.32,2288.18,1567.51,27078.01,0.0,27078.01,British
B00090,H001,G00581,RT01,P000,2026-05-13,2026-05-23,2026-05-29,6,3,1,Booking.com,Completed,0,,2705.82,16234.92,1321.01,302.63,17858.56,0.0,17858.56,French
B00091,H001,G01839,RT01,P000,2026-10-20,2026-10-29,2026-10-31,2,2,0,Booking.com,Confirmed,0,,2741.89,5483.78,671.58,324.21,6479.57,0.0,6479.57,German
B00092,H001,G00793,RT01,P000,2025-12-16,2026-01-06,2026-01-09,3,2,0,Corporate,Completed,0,,2137.14,6411.42,1044.23,174.82,7630.47,0.0,7630.47,Turkish
B00093,H001,G01443,RT02,P000,2026-09-29,2026-10-26,2026-10-30,4,3,0,Booking.com,Confirmed,0,,4106.69,16426.76,3328.49,523.42,20278.67,0.0,20278.67,British
B00094,H001,G00406,RT02,P003,2025-06-22,2025-09-28,2025-10-05,7,3,0,Corporate,Completed,0,,4140.65,28984.55,6185.52,1105.18,36275.25,0.0,36275.25,Turkish
B00095,H001,G01018,RT02,P003,2026-08-13,2026-09-02,2026-09-09,7,2,0,Booking.com,Confirmed,0,,4137.85,28964.95,4661.51,782.56,34409.02,0.0,34409.02,British
B00096,H001,G01465,RT04,P000,2026-08-09,2026-10-05,2026-10-09,4,2,0,Booking.com,Confirmed,0,,5792.04,23168.16,2677.09,1181.95,27027.2,0.0,27027.2,British
B00097,H001,G02130,RT03,P004,2025-05-07,2025-06-03,2025-06-04,1,2,1,Booking.com,Completed,0,,5647.93,5647.93,1024.78,269.38,6942.09,0.0,6942.09,Turkish
B00098,H001,G00492,RT01,P000,2025-07-14,2025-09-01,2025-09-08,7,2,0,Direct Website,Completed,0,,3721.57,26050.99,2814.05,310.81,29175.85,0.0,29175.85,British
B00099,H001,G01296,RT01,P001,2025-04-15,2025-04-19,2025-04-20,1,2,0,Expedia,Completed,0,,2215.92,2215.92,276.69,134.05,2626.66,0.0,2626.66,British
B00100,H001,G00309,RT03,P000,2025-06-18,2025-07-19,2025-07-20,1,2,0,Corporate,Completed,0,,7183.45,7183.45,1577.83,425.61,9186.89,0.0,9186.89,British
B00101,H001,G00733,RT01,P002,2025-06-06,2025-06-21,2025-06-23,2,2,0,Expedia,Completed,0,,3479.11,6958.22,1282.1,349.67,8589.99,0.0,8589.99,British
B00102,H001,G02389,RT01,P000,2025-06-06,2025-07-05,2025-07-10,5,4,0,Corporate,Cancelled,1,2025-06-25,4411.97,22059.85,2854.26,676.46,25590.57,3308.98,3308.98,French
B00103,H001,G02434,RT04,P004,2025-11-27,2025-12-25,2025-12-27,2,2,0,Direct Website,Cancelled,1,2025-12-15,3691.16,7382.32,1388.95,432.95,9204.22,0.0,0.0,Turkish
B00104,H001,G00235,RT02,P000,2025-01-05,2025-02-24,2025-02-26,2,2,0,Travel Agent,Completed,0,,2768.45,5536.9,871.83,208.89,6617.62,0.0,6617.62,British
B00105,H001,G00006,RT02,P000,2026-02-08,2026-03-04,2026-03-07,3,2,1,Direct Website,Completed,0,,3099.96,9299.88,875.7,201.34,10376.92,0.0,10376.92,Turkish
B00106,H001,G00249,RT02,P001,2025-04-03,2025-05-01,2025-05-02,1,2,2,Corporate,Completed,0,,3324.93,3324.93,415.43,119.65,3860.01,0.0,3860.01,Turkish
B00107,H001,G02082,RT02,P000,2025-09-30,2025-11-30,2025-12-04,4,2,1,Travel Agent,Completed,0,,2696.89,10787.56,2324.75,447.46,13559.77,0.0,13559.77,Turkish
B00108,H001,G01974,RT05,P006,2025-07-12,2025-08-27,2025-09-06,10,4,1,Direct Website,Cancelled,1,2025-07-28,9161.48,91614.8,14045.43,2966.08,108626.31,13742.22,13742.22,Turkish
B00109,H001,G00936,RT03,P000,2025-07-01,2025-08-21,2025-08-28,7,2,0,Expedia,Completed,0,,8140.39,56982.73,8879.67,2527.0,68389.4,0.0,68389.4,Turkish
B00110,H001,G02213,RT01,P000,2026-07-25,2026-08-20,2026-08-24,4,2,0,Booking.com,Confirmed,0,,3875.51,15502.04,3306.68,653.04,19461.76,0.0,19461.76,British
B00111,H001,G00157,RT01,P000,2025-10-24,2025-11-18,2025-11-21,3,2,1,Booking.com,Completed,0,,2273.27,6819.81,850.81,160.92,7831.54,0.0,7831.54,Turkish
B00112,H001,G00389,RT05,P005,2025-07-26,2025-08-22,2025-08-25,3,2,1,Booking.com,Cancelled,1,2025-08-14,8058.31,24174.93,2150.25,1520.58,27845.76,3626.24,3626.24,Turkish
B00113,H001,G01988,RT01,P002,2026-06-04,2026-08-01,2026-08-05,4,4,2,Travel Agent,Cancelled,1,2026-06-17,3773.2,15092.8,2642.63,184.74,17920.17,0.0,0.0,British
B00114,H001,G01776,RT02,P003,2025-04-11,2025-05-12,2025-05-18,6,2,1,Corporate,Completed,0,,3220.73,19324.38,3433.96,856.45,23614.79,0.0,23614.79,German
B00115,H001,G00783,RT05,P000,2025-02-11,2025-05-13,2025-05-19,6,3,1,Booking.com,Completed,0,,7187.39,43124.34,8273.26,2524.01,53921.61,0.0,53921.61,British
B00116,H001,G02468,RT04,P005,2026-06-17,2026-09-05,2026-09-09,4,2,0,Corporate,Confirmed,0,,6399.51,25598.04,5137.33,272.9,31008.27,0.0,31008.27,British
B00117,H001,G02270,RT02,P001,2025-04-09,2025-07-13,2025-07-16,3,3,0,Corporate,Completed,0,,4596.74,13790.22,2825.28,730.07,17345.57,0.0,17345.57,British
B00118,H001,G01686,RT01,P000,2026-06-08,2026-07-24,2026-07-26,2,3,2,Booking.com,Completed,0,,4420.3,8840.6,1717.42,472.79,11030.81,0.0,11030.81,Turkish
B00119,H001,G01850,RT02,P000,2025-09-03,2025-10-19,2025-10-21,2,2,0,Direct Website,Completed,0,,3862.29,7724.58,1180.55,375.63,9280.76,0.0,9280.76,German
B00120,H001,G02494,RT06,P000,2025-02-12,2025-02-22,2025-02-25,3,2,0,Direct Phone,Completed,0,,5837.19,17511.57,3706.92,238.49,21456.98,0.0,21456.98,Turkish
B00121,H001,G02480,RT02,P006,2026-04-18,2026-04-21,2026-04-23,2,2,0,Direct Website,Completed,0,,2964.73,5929.46,1178.22,352.64,7460.32,0.0,7460.32,Turkish
B00122,H001,G00652,RT03,P006,2025-05-16,2025-06-07,2025-06-15,8,4,1,Direct Phone,Cancelled,1,2025-06-05,5547.58,44380.64,6811.49,2834.49,54026.62,6657.1,6657.1,Turkish
B00123,H001,G01149,RT02,P000,2026-10-03,2026-11-16,2026-11-19,3,2,1,Direct Phone,Confirmed,0,,3144.67,9434.01,1812.97,452.26,11699.24,0.0,11699.24,Turkish
B00124,H001,G01131,RT01,P000,2025-04-25,2025-05-24,2025-06-03,10,2,1,Travel Agent,Cancelled,1,2025-04-26,2901.84,29018.4,4918.17,1120.8,35057.37,4352.76,4352.76,Turkish
B00125,H001,G00415,RT01,P004,2025-12-03,2025-12-11,2025-12-13,2,3,0,Expedia,Completed,0,,1999.13,3998.26,470.88,71.35,4540.49,0.0,4540.49,Turkish
B00126,H001,G02016,RT01,P000,2025-03-07,2025-05-10,2025-05-12,2,2,0,Direct Website,Completed,0,,2877.62,5755.24,1045.51,129.73,6930.48,0.0,6930.48,Turkish
B00127,H001,G02280,RT02,P000,2025-11-20,2025-12-03,2025-12-09,6,2,0,Expedia,Completed,0,,3025.2,18151.2,2473.97,424.76,21049.93,0.0,21049.93,British
B00128,H001,G01248,RT02,P006,2026-09-08,2026-10-26,2026-10-28,2,4,0,Direct Phone,Confirmed,0,,3848.12,7696.24,1295.64,210.6,9202.48,0.0,9202.48,British
B00129,H001,G01461,RT04,P000,2026-09-18,2026-10-20,2026-10-26,6,4,1,Travel Agent,Confirmed,0,,5268.54,31611.24,2685.09,1885.95,36182.28,0.0,36182.28,Turkish
B00130,H001,G01008,RT05,P002,2026-06-19,2026-07-22,2026-07-26,4,2,0,Travel Agent,Cancelled,1,2026-07-03,8927.44,35709.76,4349.23,1534.69,41593.68,0.0,0.0,British
B00131,H001,G01115,RT06,P000,2026-06-15,2026-07-30,2026-07-31,1,2,1,Booking.com,Completed,0,,11658.01,11658.01,1536.79,645.61,13840.41,0.0,13840.41,Turkish
B00132,H001,G01051,RT01,P002,2026-08-08,2026-09-24,2026-09-26,2,2,0,Expedia,Confirmed,0,,3216.31,6432.62,1020.94,222.86,7676.42,0.0,7676.42,Turkish
B00133,H001,G02421,RT06,P005,2026-05-22,2026-06-03,2026-06-05,2,2,0,Direct Website,Completed,0,,7901.3,15802.6,3040.07,417.16,19259.83,0.0,19259.83,Turkish
B00134,H001,G01821,RT01,P000,2025-10-05,2025-11-02,2025-11-05,3,2,0,Booking.com,Completed,0,,2224.97,6674.91,728.74,335.35,7739.0,0.0,7739.0,British
B00135,H001,G02002,RT04,P006,2025-08-16,2025-09-29,2025-10-02,3,2,0,Direct Website,Completed,0,,6001.84,18005.52,3653.98,425.97,22085.47,0.0,22085.47,German
B00136,H001,G02159,RT02,P002,2026-07-29,2026-09-23,2026-09-26,3,2,0,Expedia,Confirmed,0,,4585.46,13756.38,1969.39,515.22,16240.99,0.0,16240.99,British
B00137,H001,G01680,RT02,P001,2025-05-11,2025-05-22,2025-05-24,2,2,1,Direct Website,Completed,0,,3436.57,6873.14,1394.0,250.26,8517.4,0.0,8517.4,British
B00138,H001,G02030,RT03,P005,2025-07-02,2025-08-29,2025-09-03,5,2,0,Direct Phone,Completed,0,,5507.79,27538.95,5835.57,1272.08,34646.6,0.0,34646.6,British
B00139,H001,G01402,RT05,P004,2026-06-04,2026-06-29,2026-06-30,1,4,0,Corporate,Completed,0,,8346.25,8346.25,744.66,470.17,9561.08,0.0,9561.08,British
B00140,H001,G01419,RT02,P006,2025-07-22,2025-07-28,2025-08-04,7,3,0,Direct Phone,Completed,0,,5404.25,37829.75,5209.66,758.61,43798.02,0.0,43798.02,British
B00141,H001,G01798,RT02,P000,2025-03-25,2025-04-10,2025-04-13,3,2,0,Corporate,Completed,0,,3644.28,10932.84,1551.08,289.19,12773.11,0.0,12773.11,Turkish
B00142,H001,G00019,RT02,P003,2026-05-02,2026-05-13,2026-05-18,5,2,1,Travel Agent,Cancelled,1,2026-05-03,3440.46,17202.3,3145.89,225.1,20573.29,0.0,0.0,Turkish
