date_key,date,year,month,month_name,quarter,week,day_of_week,is_weekend,season
20250211,2025-02-11,2025,2,February,Q1,7,Tuesday,False,Low
20250212,2025-02-12,2025,2,February,Q1,7,Wednesday,False,Low
20250213,2025-02-13,2025,2,February,Q1,7,Thursday,False,Low
20250214,2025-02-14,2025,2,February,Q1,7,Friday,False,Low
20250215,2025-02-15,2025,2,February,Q1,7,Saturday,True,Low
20250216,2025-02-16,2025,2,February,Q1,7,Sunday,True,Low
20250217,2025-02-17,2025,2,February,Q1,8,Monday,False,Low
20250218,2025-02-18,2025,2,February,Q1,8,Tuesday,False,Low
20250219,2025-02-19,2025,2,February,Q1,8,Wednesday,False,Low
20250220,2025-02-20,2025,2,February,Q1,8,Thursday,False,Low
20250221,2025-02-21,2025,2,February,Q1,8,Friday,False,Low
20250222,2025-02-22,2025,2,February,Q1,8,Saturday,True,Low
20250223,2025-02-23,2025,2,February,Q1,8,Sunday,True,Low
20250224,2025-02-24,2025,2,February,Q1,9,Monday,False,Low
20250225,2025-02-25,2025,2,February,Q1,9,Tuesday,False,Low
20250226,2025-02-26,2025,2,February,Q1,9,Wednesday,False,Low
20250227,2025-02-27,2025,2,February,Q1,9,Thursday,False,Low
20250228,2025-02-28,2025,2,February,Q1,9,Friday,False,Low
20250301,2025-03-01,2025,3,March,Q1,9,Saturday,True,Low
20250302,2025-03-02,2025,3,March,Q1,9,Sunday,True,Low
20250303,2025-03-03,2025,3,March,Q1,10,Monday,False,Low
20250304,2025-03-04,2025,3,March,Q1,10,Tuesday,False,Low
20250305,2025-03-05,2025,3,March,Q1,10,Wednesday,False,Low
20250306,2025-03-06,2025,3,March,Q1,10,Thursday,False,Low
20250307,2025-03-07,2025,3,March,Q1,10,Friday,False,Low
20250308,2025-03-08,2025,3,March,Q1,10,Saturday,True,Low
20250309,2025-03-09,2025,3,March,Q1,10,Sunday,True,Low
20250310,2025-03-10,2025,3,March,Q1,11,Monday,False,Low
20250311,2025-03-11,2025,3,March,Q1,11,Tuesday,False,Low
20250312,2025-03-12,2025,3,March,Q1,11,Wednesday,False,Low
20250313,2025-03-13,2025,3,March,Q1,11,Thursday,False,Low
20250314,2025-03-14,2025,3,March,Q1,11,Friday,False,Low
20250315,2025-03-15,2025,3,March,Q1,11,Saturday,True,Low
20250316,2025-03-16,2025,3,March,Q1,11,Sunday,True,Low
20250317,2025-03-17,2025,3,March,Q1,12,Monday,False,Low
20250318,2025-03-18,2025,3,March,Q1,12,Tuesday,False,Low
20250319,2025-03-19,2025,3,March,Q1,12,Wednesday,False,Low
20250320,2025-03-20,2025,3,March,Q1,12,Thursday,False,Low
20250321,2025-03-21,2025,3,March,Q1,12,Friday,False,Low
20250322,2025-03-22,2025,3,March,Q1,12,Saturday,True,Low
20250323,2025-03-23,2025,3,March,Q1,12,Sunday,True,Low
20250324,2025-03-24,2025,3,March,Q1,13,Monday,False,Low
20250325,2025-03-25,2025,3,March,Q1,13,Tuesday,False,Low
20250326,2025-03-26,2025,3,March,Q1,13,Wednesday,False,Low
20250327,2025-03-27,2025,3,March,Q1,13,Thursday,False,Low
20250328,2025-03-28,2025,3,March,Q1,13,Friday,False,Low
20250329,2025-03-29,2025,3,March,Q1,13,Saturday,True,Low
20250330,2025-03-30,2025,3,March,Q1,13,Sunday,True,Low
20250331,2025-03-31,2025,3,March,Q1,14,Monday,False,Low
20250401,2025-04-01,2025,4,April,Q2,14,Tuesday,False,Shoulder
20250402,2025-04-02,2025,4,April,Q2,14,Wednesday,False,Shoulder
20250403,2025-04-03,2025,4,April,Q2,14,Thursday,False,Shoulder
20250404,2025-04-04,2025,4,April,Q2,14,Friday,False,Shoulder
20250405,2025-04-05,2025,4,April,Q2,14,Saturday,True,Shoulder
20250406,2025-04-06,2025,4,April,Q2,14,Sunday,True,Shoulder
20250407,2025-04-07,2025,4,April,Q2,15,Monday,False,Shoulder
20250408,2025-04-08,2025,4,April,Q2,15,Tuesday,False,Shoulder
20250409,2025-04-09,2025,4,April,Q2,15,Wednesday,False,Shoulder
20250410,2025-04-10,2025,4,April,Q2,15,Thursday,False,Shoulder
20250411,2025-04-11,2025,4,April,Q2,15,Friday,False,Shoulder
20250412,2025-04-12,2025,4,April,Q2,15,Saturday,True,Shoulder
20250413,2025-04-13,2025,4,April,Q2,15,Sunday,True,Shoulder
20250414,2025-04-14,2025,4,April,Q2,16,Monday,False,Shoulder
20250415,2025-04-15,2025,4,April,Q2,16,Tuesday,False,Shoulder
20250416,2025-04-16,2025,4,April,Q2,16,Wednesday,False,Shoulder
20250417,2025-04-17,2025,4,April,Q2,16,Thursday,False,Shoulder
20250418,2025-04-18,2025,4,April,Q2,16,Friday,False,Shoulder
20250419,2025-04-19,2025,4,April,Q2,16,Saturday,True,Shoulder
20250420,2025-04-20,2025,4,April,Q2,16,Sunday,True,Shoulder
20250421,2025-04-21,2025,4,April,Q2,17,Monday,False,Shoulder
20250422,2025-04-22,2025,4,April,Q2,17,Tuesday,False,Shoulder
20250423,2025-04-23,2025,4,April,Q2,17,Wednesday,False,Shoulder
20250424,2025-04-24,2025,4,April,Q2,17,Thursday,False,Shoulder
20250425,2025-04-25,2025,4,April,Q2,17,Friday,False,Shoulder
20250426,2025-04-26,2025,4,April,Q2,17,Saturday,True,Shoulder
20250427,2025-04-27,2025,4,April,Q2,17,Sunday,True,Shoulder
20250428,2025-04-28,2025,4,April,Q2,18,Monday,False,Shoulder
20250429,2025-04-29,2025,4,April,Q2,18,Tuesday,False,Shoulder
20250430,2025-04-30,2025,4,April,Q2,18,Wednesday,False,Shoulder
20250501,2025-05-01,2025,5,May,Q2,18,Thursday,False,Shoulder
20250502,2025-05-02,2025,5,May,Q2,18,Friday,False,Shoulder
20250503,2025-05-03,2025,5,May,Q2,18,Saturday,True,Shoulder
20250504,2025-05-04,2025,5,May,Q2,18,Sunday,True,Shoulder
20250505,2025-05-05,2025,5,May,Q2,19,Monday,False,Shoulder
20250506,2025-05-06,2025,5,May,Q2,19,Tuesday,False,Shoulder
20250507,2025-05-07,2025,5,May,Q2,19,Wednesday,False,Shoulder
20250508,2025-05-08,2025,5,May,Q2,19,Thursday,False,Shoulder
20250509,2025-05-09,2025,5,May,Q2,19,Friday,False,Shoulder
20250510,2025-05-10,2025,5,May,Q2,19,Saturday,True,Shoulder
20250511,2025-05-11,2025,5,May,Q2,19,Sunday,True,Shoulder
20250512,2025-05-12,2025,5,May,Q2,20,Monday,False,Shoulder
20250513,2025-05-13,2025,5,May,Q2,20,Tuesday,False,Shoulder
20250514,2025-05-14,2025,5,May,Q2,20,Wednesday,False,Shoulder
20250515,2025-05-15,2025,5,May,Q2,20,Thursday,False,Shoulder
20250516,2025-05-16,2025,5,May,Q2,20,Friday,False,Shoulder
20250517,2025-05-17,2025,5,May,Q2,20,Saturday,True,Shoulder
20250518,2025-05-18,2025,5,May,Q2,20,Sunday,True,Shoulder
20250519,2025-05-19,2025,5,May,Q2,21,Monday,False,Shoulder
20250520,2025-05-20,2025,5,May,Q2,21,Tuesday,False,Shoulder
20250521,2025-05-21,2025,5,May,Q2,21,Wednesday,False,Shoulder
20250522,2025-05-22,2025,5,May,Q2,21,Thursday,False,Shoulder
20250523,2025-05-23,2025,5,May,Q2,21,Friday,False,Shoulder
20250524,2025-05-24,2025,5,May,Q2,21,Saturday,True,Shoulder
20250525,2025-05-25,2025,5,May,Q2,21,Sunday,True,Shoulder
20250526,2025-05-26,2025,5,May,Q2,22,Monday,False,Shoulder
20250527,2025-05-27,2025,5,May,Q2,22,Tuesday,False,Shoulder
20250528,2025-05-28,2025,5,May,Q2,22,Wednesday,False,Shoulder
20250529,2025-05-29,2025,5,May,Q2,22,Thursday,False,Shoulder
20250530,2025-05-30,2025,5,May,Q2,22,Friday,False,Shoulder
20250531,2025-05-31,2025,5,May,Q2,22,Saturday,True,Shoulder
20250601,2025-06-01,2025,6,June,Q2,22,Sunday,True,Peak
20250602,2025-06-02,2025,6,June,Q2,23,Monday,False,Peak
20250603,2025-06-03,2025,6,June,Q2,23,Tuesday,False,Peak
20250604,2025-06-04,2025,6,June,Q2,23,Wednesday,False,Peak
20250605,2025-06-05,2025,6,June,Q2,23,Thursday,False,Peak
20250606,2025-06-06,2025,6,June,Q2,23,Friday,False,Peak
20250607,2025-06-07,2025,6,June,Q2,23,Saturday,True,Peak
20250608,2025-06-08,2025,6,June,Q2,23,Sunday,True,Peak
20250609,2025-06-09,2025,6,June,Q2,24,Monday,False,Peak
20250610,2025-06-10,2025,6,June,Q2,24,Tuesday,False,Peak
20250611,2025-06-11,2025,6,June,Q2,24,Wednesday,False,Peak
20250612,2025-06-12,2025,6,June,Q2,24,Thursday,False,Peak
20250613,2025-06-13,2025,6,June,Q2,24,Friday,False,Peak
20250614,2025-06-14,2025,6,June,Q2,24,Saturday,True,Peak
20250615,2025-06-15,2025,6,June,Q2,24,Sunday,True,Peak
20250616,2025-06-16,2025,6,June,Q2,25,Monday,False,Peak
20250617,2025-06-17,2025,6,June,Q2,25,Tuesday,False,Peak
20250618,2025-06-18,2025,6,June,Q2,25,Wednesday,False,Peak
20250619,2025-06-19,2025,6,June,Q2,25,Thursday,False,Peak
20250620,2025-06-20,2025,6,June,Q2,25,Friday,False,Peak
20250621,2025-06-21,2025,6,June,Q2,25,Saturday,True,Peak
20250622,2025-06-22,2025,6,June,Q2,25,Sunday,True,Peak
20250623,2025-06-23,2025,6,June,Q2,26,Monday,False,Peak
20250624,2025-06-24,2025,6,June,Q2,26,Tuesday,False,Peak
20250625,2025-06-25,2025,6,June,Q2,26,Wednesday,False,Peak
20250626,2025-06-26,2025,6,June,Q2,26,Thursday,False,Peak
20250627,2025-06-27,2025,6,June,Q2,26,Friday,False,Peak
20250628,2025-06-28,2025,6,June,Q2,26,Saturday,True,Peak
20250629,2025-06-29,2025,6,June,Q2,26,Sunday,True,Peak
20250630,2025-06-30,2025,6,June,Q2,27,Monday,False,Peak
20250701,2025-07-01,2025,7,July,Q3,27,Tuesday,False,Peak
20250702,2025-07-02,2025,7,July,Q3,27,Wednesday,False,Peak
20250703,2025-07-03,2025,7,July,Q3,27,Thursday,False,Peak
20250704,2025-07-04,2025,7,July,Q3,27,Friday,False,Peak
20250705,2025-07-05,2025,7,July,Q3,27,Saturday,True,Peak
20250706,2025-07-06,2025,7,July,Q3,27,Sunday,True,Peak
20250707,2025-07-07,2025,7,July,Q3,28,Monday,False,Peak
20250708,2025-07-08,2025,7,July,Q3,28,Tuesday,False,Peak
20250709,2025-07-09,2025,7,July,Q3,28,Wednesday,False,Peak
20250710,2025-07-10,2025,7,July,Q3,28,Thursday,False,Peak
20250711,2025-07-11,2025,7,July,Q3,28,Friday,False,Peak
20250712,2025-07-12,2025,7,July,Q3,28,Saturday,True,Peak
20250713,2025-07-13,2025,7,July,Q3,28,Sunday,True,Peak
20250714,2025-07-14,2025,7,July,Q3,29,Monday,False,Peak
20250715,2025-07-15,2025,7,July,Q3,29,Tuesday,False,Peak
20250716,2025-07-16,2025,7,July,Q3,29,Wednesday,False,Peak
20250717,2025-07-17,2025,7,July,Q3,29,Thursday,False,Peak
20250718,2025-07-18,2025,7,July,Q3,29,Friday,False,Peak
20250719,2025-07-19,2025,7,July,Q3,29,Saturday,True,Peak
20250720,2025-07-20,2025,7,July,Q3,29,Sunday,True,Peak
20250721,2025-07-21,2025,7,July,Q3,30,Monday,False,Peak
20250722,2025-07-22,2025,7,July,Q3,30,Tuesday,False,Peak
20250723,2025-07-23,2025,7,July,Q3,30,Wednesday,False,Peak
20250724,2025-07-24,2025,7,July,Q3,30,Thursday,False,Peak
20250725,2025-07-25,2025,7,July,Q3,30,Friday,False,Peak
20250726,2025-07-26,2025,7,July,Q3,30,Saturday,True,Peak
20250727,2025-07-27,2025,7,July,Q3,30,Sunday,True,Peak
20250728,2025-07-28,2025,7,July,Q3,31,Monday,False,Peak
20250729,2025-07-29,2025,7,July,Q3,31,Tuesday,False,Peak
20250730,2025-07-30,2025,7,July,Q3,31,Wednesday,False,Peak
20250731,2025-07-31,2025,7,July,Q3,31,Thursday,False,Peak
20250801,2025-08-01,2025,8,August,Q3,31,Friday,False,Peak
20250802,2025-08-02,2025,8,August,Q3,31,Saturday,True,Peak
20250803,2025-08-03,2025,8,August,Q3,31,Sunday,True,Peak
20250804,2025-08-04,2025,8,August,Q3,32,Monday,False,Peak
20250805,2025-08-05,2025,8,August,Q3,32,Tuesday,False,Peak
20250806,2025-08-06,2025,8,August,Q3,32,Wednesday,False,Peak
20250807,2025-08-07,2025,8,August,Q3,32,Thursday,False,Peak
20250808,2025-08-08,2025,8,August,Q3,32,Friday,False,Peak
20250809,2025-08-09,2025,8,August,Q3,32,Saturday,True,Peak
20250810,2025-08-10,2025,8,August,Q3,32,Sunday,True,Peak
20250811,2025-08-11,2025,8,August,Q3,33,Monday,False,Peak
20250812,2025-08-12,2025,8,August,Q3,33,Tuesday,False,Peak
20250813,2025-08-13,2025,8,August,Q3,33,Wednesday,False,Peak
20250814,2025-08-14,2025,8,August,Q3,33,Thursday,False,Peak
20250815,2025-08-15,2025,8,August,Q3,33,Friday,False,Peak
20250816,2025-08-16,2025,8,August,Q3,33,Saturday,True,Peak
20250817,2025-08-17,2025,8,August,Q3,33,Sunday,True,Peak
20250818,2025-08-18,2025,8,August,Q3,34,Monday,False,Peak
20250819,2025-08-19,2025,8,August,Q3,34,Tuesday,False,Peak
20250820,2025-08-20,2025,8,August,Q3,34,Wednesday,False,Peak
20250821,2025-08-21,2025,8,August,Q3,34,Thursday,False,Peak
20250822,2025-08-22,2025,8,August,Q3,34,Friday,False,Peak
20250823,2025-08-23,2025,8,August,Q3,34,Saturday,True,Peak
20250824,2025-08-24,2025,8,August,Q3,34,Sunday,True,Peak
20250825,2025-08-25,2025,8,August,Q3,35,Monday,False,Peak
20250826,2025-08-26,2025,8,August,Q3,35,Tuesday,False,Peak
20250827,2025-08-27,2025,8,August,Q3,35,Wednesday,False,Peak
20250828,2025-08-28,2025,8,August,Q3,35,Thursday,False,Peak
20250829,2025-08-29,2025,8,August,Q3,35,Friday,False,Peak
20250830,2025-08-30,2025,8,August,Q3,35,Saturday,True,Peak
20250831,2025-08-31,2025,8,August,Q3,35,Sunday,True,Peak
20250901,2025-09-01,2025,9,September,Q3,36,Monday,False,Peak
20250902,2025-09-02,2025,9,September,Q3,36,Tuesday,False,Peak
20250903,2025-09-03,2025,9,September,Q3,36,Wednesday,False,Peak
20250904,2025-09-04,2025,9,September,Q3,36,Thursday,False,Peak
20250905,2025-09-05,2025,9,September,Q3,36,Friday,False,Peak
20250906,2025-09-06,2025,9,September,Q3,36,Saturday,True,Peak
20250907,2025-09-07,2025,9,September,Q3,36,Sunday,True,Peak
20250908,2025-09-08,2025,9,September,Q3,37,Monday,False,Peak
20250909,2025-09-09,2025,9,September,Q3,37,Tuesday,False,Peak
20250910,2025-09-10,2025,9,September,Q3,37,Wednesday,False,Peak
20250911,2025-09-11,2025,9,September,Q3,37,Thursday,False,Peak
20250912,2025-09-12,2025,9,September,Q3,37,Friday,False,Peak
20250913,2025-09-13,2025,9,September,Q3,37,Saturday,True,Peak
20250914,2025-09-14,2025,9,September,Q3,37,Sunday,True,Peak
20250915,2025-09-15,2025,9,September,Q3,38,Monday,False,Peak
20250916,2025-09-16,2025,9,September,Q3,38,Tuesday,False,Peak
20250917,2025-09-17,2025,9,September,Q3,38,Wednesday,False,Peak
20250918,2025-09-18,2025,9,September,Q3,38,Thursday,False,Peak
20250919,2025-09-19,2025,9,September,Q3,38,Friday,False,Peak
20250920,2025-09-20,2025,9,September,Q3,38,Saturday,True,Peak
20250921,2025-09-21,2025,9,September,Q3,38,Sunday,True,Peak
20250922,2025-09-22,2025,9,September,Q3,39,Monday,False,Peak
20250923,2025-09-23,2025,9,September,Q3,39,Tuesday,False,Peak
20250924,2025-09-24,2025,9,September,Q3,39,Wednesday,False,Peak
20250925,2025-09-25,2025,9,September,Q3,39,Thursday,False,Peak
20250926,2025-09-26,2025,9,September,Q3,39,Friday,False,Peak
20250927,2025-09-27,2025,9,September,Q3,39,Saturday,True,Peak
20250928,2025-09-28,2025,9,September,Q3,39,Sunday,True,Peak
20250929,2025-09-29,2025,9,September,Q3,40,Monday,False,Peak
20250930,2025-09-30,2025,9,September,Q3,40,Tuesday,False,Peak
20251001,2025-10-01,2025,10,October,Q4,40,Wednesday,False,Shoulder
20251002,2025-10-02,2025,10,October,Q4,40,Thursday,False,Shoulder
20251003,2025-10-03,2025,10,October,Q4,40,Friday,False,Shoulder
20251004,2025-10-04,2025,10,October,Q4,40,Saturday,True,Shoulder
20251005,2025-10-05,2025,10,October,Q4,40,Sunday,True,Shoulder
20251006,2025-10-06,2025,10,October,Q4,41,Monday,False,Shoulder
20251007,2025-10-07,2025,10,October,Q4,41,Tuesday,False,Shoulder
20251008,2025-10-08,2025,10,October,Q4,41,Wednesday,False,Shoulder
20251009,2025-10-09,2025,10,October,Q4,41,Thursday,False,Shoulder
20251010,2025-10-10,2025,10,October,Q4,41,Friday,False,Shoulder
20251011,2025-10-11,2025,10,October,Q4,41,Saturday,True,Shoulder
20251012,2025-10-12,2025,10,October,Q4,41,Sunday,True,Shoulder
20251013,2025-10-13,2025,10,October,Q4,42,Monday,False,Shoulder
20251014,2025-10-14,2025,10,October,Q4,42,Tuesday,False,Shoulder
20251015,2025-10-15,2025,10,October,Q4,42,Wednesday,False,Shoulder
20251016,2025-10-16,2025,10,October,Q4,42,Thursday,False,Shoulder
20251017,2025-10-17,2025,10,October,Q4,42,Friday,False,Shoulder
20251018,2025-10-18,2025,10,October,Q4,42,Saturday,True,Shoulder
20251019,2025-10-19,2025,10,October,Q4,42,Sunday,True,Shoulder
20251020,2025-10-20,2025,10,October,Q4,43,Monday,False,Shoulder
20251021,2025-10-21,2025,10,October,Q4,43,Tuesday,False,Shoulder
20251022,2025-10-22,2025,10,October,Q4,43,Wednesday,False,Shoulder
20251023,2025-10-23,2025,10,October,Q4,43,Thursday,False,Shoulder
20251024,2025-10-24,2025,10,October,Q4,43,Friday,False,Shoulder
20251025,2025-10-25,2025,10,October,Q4,43,Saturday,True,Shoulder
20251026,2025-10-26,2025,10,October,Q4,43,Sunday,True,Shoulder
20251027,2025-10-27,2025,10,October,Q4,44,Monday,False,Shoulder
20251028,2025-10-28,2025,10,October,Q4,44,Tuesday,False,Shoulder
20251029,2025-10-29,2025,10,October,Q4,44,Wednesday,False,Shoulder
20251030,2025-10-30,2025,10,October,Q4,44,Thursday,False,Shoulder
20251031,2025-10-31,2025,10,October,Q4,44,Friday,False,Shoulder
20251101,2025-11-01,2025,11,November,Q4,44,Saturday,True,Low
20251102,2025-11-02,2025,11,November,Q4,44,Sunday,True,Low
20251103,2025-11-03,2025,11,November,Q4,45,Monday,False,Low
20251104,2025-11-04,2025,11,November,Q4,45,Tuesday,False,Low
20251105,2025-11-05,2025,11,November,Q4,45,Wednesday,False,Low
20251106,2025-11-06,2025,11,November,Q4,45,Thursday,False,Low
20251107,2025-11-07,2025,11,November,Q4,45,Friday,False,Low
20251108,2025-11-08,2025,11,November,Q4,45,Saturday,True,Low
20251109,2025-11-09,2025,11,November,Q4,45,Sunday,True,Low
20251110,2025-11-10,2025,11,November,Q4,46,Monday,False,Low
20251111,2025-11-11,2025,11,November,Q4,46,Tuesday,False,Low
20251112,2025-11-12,2025,11,November,Q4,46,Wednesday,False,Low
20251113,2025-11-13,2025,11,November,Q4,46,Thursday,False,Low
20251114,2025-11-14,2025,11,November,Q4,46,Friday,False,Low
20251115,2025-11-15,2025,11,November,Q4,46,Saturday,True,Low
20251116,2025-11-16,2025,11,November,Q4,46,Sunday,True,Low
20251117,2025-11-17,2025,11,November,Q4,47,Monday,False,Low
20251118,2025-11-18,2025,11,November,Q4,47,Tuesday,False,Low
20251119,2025-11-19,2025,11,November,Q4,47,Wednesday,False,Low
20251120,2025-11-20,2025,11,November,Q4,47,Thursday,False,Low
20251121,2025-11-21,2025,11,November,Q4,47,Friday,False,Low
20251122,2025-11-22,2025,11,November,Q4,47,Saturday,True,Low
20251123,2025-11-23,2025,11,November,Q4,47,Sunday,True,Low
20251124,2025-11-24,2025,11,November,Q4,48,Monday,False,Low
20251125,2025-11-25,2025,11,November,Q4,48,Tuesday,False,Low
20251126,2025-11-26,2025,11,November,Q4,48,Wednesday,False,Low
20251127,2025-11-27,2025,11,November,Q4,48,Thursday,False,Low
20251128,2025-11-28,2025,11,November,Q4,48,Friday,False,Low
20251129,2025-11-29,2025,11,November,Q4,48,Saturday,True,Low
20251130,2025-11-30,2025,11,November,Q4,48,Sunday,True,Low
20251201,2025-12-01,2025,12,December,Q4,49,Monday,False,Low
20251202,2025-12-02,2025,12,December,Q4,49,Tuesday,False,Low
20251203,2025-12-03,2025,12,December,Q4,49,Wednesday,False,Low
20251204,2025-12-04,2025,12,December,Q4,49,Thursday,False,Low
20251205,2025-12-05,2025,12,December,Q4,49,Friday,False,Low
20251206,2025-12-06,2025,12,December,Q4,49,Saturday,True,Low
20251207,2025-12-07,2025,12,December,Q4,49,Sunday,True,Low
20251208,2025-12-08,2025,12,December,Q4,50,Monday,False,Low
20251209,2025-12-09,2025,12,December,Q4,50,Tuesday,False,Low
20251210,2025-12-10,2025,12,December,Q4,50,Wednesday,False,Low
20251211,2025-12-11,2025,12,December,Q4,50,Thursday,False,Low
20251212,2025-12-12,2025,12,December,Q4,50,Friday,False,Low
20251213,2025-12-13,2025,12,December,Q4,50,Saturday,True,Low
20251214,2025-12-14,2025,12,December,Q4,50,Sunday,True,Low
20251215,2025-12-15,2025,12,December,Q4,51,Monday,False,Low
20251216,2025-12-16,2025,12,December,Q4,51,Tuesday,False,Low
20251217,2025-12-17,2025,12,December,Q4,51,Wednesday,False,Low
20251218,2025-12-18,2025,12,December,Q4,51,Thursday,False,Low
20251219,2025-12-19,2025,12,December,Q4,51,Friday,False,Low
20251220,2025-12-20,2025,12,December,Q4,51,Saturday,True,Low
20251221,2025-12-21,2025,12,December,Q4,51,Sunday,True,Low
20251222,2025-12-22,2025,12,December,Q4,52,Monday,False,Low
20251223,2025-12-23,2025,12,December,Q4,52,Tuesday,False,Low
20251224,2025-12-24,2025,12,December,Q4,52,Wednesday,False,Low
20251225,2025-12-25,2025,12,December,Q4,52,Thursday,False,Low
20251226,2025-12-26,2025,12,December,Q4,52,Friday,False,Low
20251227,2025-12-27,2025,12,December,Q4,52,Saturday,True,Low
20251228,2025-12-28,2025,12,December,Q4,52,Sunday,True,Low
20251229,2025-12-29,2025,12,December,Q4,1,Monday,False,Low
20251230,2025-12-30,2025,12,December,Q4,1,Tuesday,False,Low
20251231,2025-12-31,2025,12,December,Q4,1,Wednesday,False,Low
20260101,2026-01-01,2026,1,January,Q1,1,Thursday,False,Low
20260102,2026-01-02,2026,1,January,Q1,1,Friday,False,Low
20260103,2026-01-03,2026,1,January,Q1,1,Saturday,True,Low
20260104,2026-01-04,2026,1,January,Q1,1,Sunday,True,Low
20260105,2026-01-05,2026,1,January,Q1,2,Monday,False,Low
20260106,2026-01-06,2026,1,January,Q1,2,Tuesday,False,Low
20260107,2026-01-07,2026,1,January,Q1,2,Wednesday,False,Low
20260108,2026-01-08,2026,1,January,Q1,2,Thursday,False,Low
20260109,2026-01-09,2026,1,January,Q1,2,Friday,False,Low
20260110,2026-01-10,2026,1,January,Q1,2,Saturday,True,Low
20260111,2026-01-11,2026,1,January,Q1,2,Sunday,True,Low
20260112,2026-01-12,2026,1,January,Q1,3,Monday,False,Low
20260113,2026-01-13,2026,1,January,Q1,3,Tuesday,False,Low
20260114,2026-01-14,2026,1,January,Q1,3,Wednesday,False,Low
20260115,2026-01-15,2026,1,January,Q1,3,Thursday,False,Low
20260116,2026-01-16,2026,1,January,Q1,3,Friday,False,Low
20260117,2026-01-17,2026,1,January,Q1,3,Saturday,True,Low
20260118,2026-01-18,2026,1,January,Q1,3,Sunday,True,Low
20260119,2026-01-19,2026,1,January,Q1,4,Monday,False,Low
20260120,2026-01-20,2026,1,January,Q1,4,Tuesday,False,Low
20260121,2026-01-21,2026,1,January,Q1,4,Wednesday,False,Low
20260122,2026-01-22,2026,1,January,Q1,4,Thursday,False,Low
20260123,2026-01-23,2026,1,January,Q1,4,Friday,False,Low
20260124,2026-01-24,2026,1,January,Q1,4,Saturday,True,Low
20260125,2026-01-25,2026,1,January,Q1,4,Sunday,True,Low
20260126,2026-01-26,2026,1,January,Q1,5,Monday,False,Low
20260127,2026-01-27,2026,1,January,Q1,5,Tuesday,False,Low
20260128,2026-01-28,2026,1,January,Q1,5,Wednesday,False,Low
20260129,2026-01-29,2026,1,January,Q1,5,Thursday,False,Low
20260130,2026-01-30,2026,1,January,Q1,5,Friday,False,Low
20260131,2026-01-31,2026,1,January,Q1,5,Saturday,True,Low
20260201,2026-02-01,2026,2,February,Q1,5,Sunday,True,Low
20260202,2026-02-02,2026,2,February,Q1,6,Monday,False,Low
